best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,303.5,565,1049,0.852802865422,16,6,0,0,False,parser->m_commentHandler = NULL;
42,303.5,565,1050,0.852802865422,16,6,0,0,False,parser->m_startCdataSectionHandler = NULL;
42,303.5,565,1051,0.852802865422,16,6,0,0,False,parser->m_endCdataSectionHandler = NULL;
42,303.5,565,1052,0.852802865422,16,6,0,0,False,parser->m_defaultHandler = NULL;
42,303.5,565,1053,0.852802865422,16,6,0,0,False,parser->m_startDoctypeDeclHandler = NULL;
42,303.5,565,1054,0.852802865422,16,6,0,0,False,parser->m_endDoctypeDeclHandler = NULL;
42,303.5,565,1055,0.852802865422,16,6,0,0,False,parser->m_unparsedEntityDeclHandler = NULL;
42,303.5,565,1056,0.852802865422,16,6,0,0,False,parser->m_notationDeclHandler = NULL;
42,303.5,565,1057,0.852802865422,16,6,0,0,False,parser->m_startNamespaceDeclHandler = NULL;
42,303.5,565,1058,0.852802865422,16,6,0,0,False,parser->m_endNamespaceDeclHandler = NULL;
42,303.5,565,1059,0.852802865422,16,6,0,0,False,parser->m_notStandaloneHandler = NULL;
42,303.5,565,1060,0.852802865422,16,6,0,0,False,parser->m_externalEntityRefHandler = NULL;
42,303.5,565,1061,0.852802865422,16,6,0,0,False,parser->m_externalEntityRefHandlerArg = parser;
42,303.5,565,1062,0.852802865422,16,6,0,0,False,parser->m_skippedEntityHandler = NULL;
42,303.5,565,1063,0.852802865422,16,6,0,0,False,parser->m_elementDeclHandler = NULL;
42,303.5,565,1064,0.852802865422,16,6,0,0,False,parser->m_attlistDeclHandler = NULL;
42,303.5,565,1065,0.852802865422,16,6,0,0,False,parser->m_entityDeclHandler = NULL;
42,303.5,565,1066,0.852802865422,16,6,0,0,False,parser->m_xmlDeclHandler = NULL;
42,303.5,565,1067,0.852802865422,16,6,0,0,False,parser->m_bufferPtr = parser->m_buffer;
42,303.5,565,1068,0.852802865422,16,6,0,0,False,parser->m_bufferEnd = parser->m_buffer;
42,303.5,565,1069,0.852802865422,16,6,0,0,False,parser->m_parseEndByteIndex = 0;
42,303.5,565,1070,0.852802865422,16,6,0,0,False,parser->m_parseEndPtr = NULL;
42,303.5,565,1071,0.852802865422,16,6,0,0,False,parser->m_declElementType = NULL;
42,303.5,565,1072,0.852802865422,16,6,0,0,False,parser->m_declAttributeId = NULL;
42,303.5,565,1073,0.852802865422,16,6,0,0,False,parser->m_declEntity = NULL;
42,303.5,565,1074,0.852802865422,16,6,0,0,False,parser->m_doctypeName = NULL;
42,303.5,565,1075,0.852802865422,16,6,0,0,False,parser->m_doctypeSysid = NULL;
42,303.5,565,1076,0.852802865422,16,6,0,0,False,parser->m_doctypePubid = NULL;
42,303.5,565,1077,0.852802865422,16,6,0,0,False,parser->m_declAttributeType = NULL;
42,303.5,565,1078,0.852802865422,16,6,0,0,False,parser->m_declNotationName = NULL;
42,303.5,565,1079,0.852802865422,16,6,0,0,False,parser->m_declNotationPublicId = NULL;
42,303.5,565,1080,0.852802865422,16,6,0,0,False,parser->m_declAttributeIsCdata = XML_FALSE;
42,303.5,565,1081,0.852802865422,16,6,0,0,False,parser->m_declAttributeIsId = XML_FALSE;
42,303.5,565,1082,0.852802865422,16,6,0,0,False,"memset(&parser->m_position, 0, sizeof(POSITION));"
42,303.5,565,1083,0.852802865422,16,6,0,0,False,parser->m_errorCode = XML_ERROR_NONE;
42,303.5,565,1084,0.852802865422,16,6,0,0,False,parser->m_eventPtr = NULL;
42,303.5,565,1085,0.852802865422,16,6,0,0,False,parser->m_eventEndPtr = NULL;
42,303.5,565,1086,0.852802865422,16,6,0,0,False,parser->m_positionPtr = NULL;
42,303.5,565,1087,0.852802865422,16,6,0,0,False,parser->m_openInternalEntities = NULL;
42,303.5,565,1088,0.852802865422,16,6,0,0,False,parser->m_defaultExpandInternalEntities = XML_TRUE;
42,303.5,565,1089,0.852802865422,16,6,0,0,False,parser->m_tagLevel = 0;
42,303.5,565,1090,0.852802865422,16,6,0,0,False,parser->m_tagStack = NULL;
42,303.5,565,1091,0.852802865422,16,6,0,0,False,parser->m_inheritedBindings = NULL;
42,303.5,565,1092,0.852802865422,16,6,0,0,False,parser->m_nSpecifiedAtts = 0;
42,303.5,565,1093,0.852802865422,16,6,0,0,False,parser->m_unknownEncodingMem = NULL;
42,303.5,565,1094,0.852802865422,16,6,0,0,False,parser->m_unknownEncodingRelease = NULL;
42,303.5,565,1095,0.852802865422,16,6,0,0,False,parser->m_unknownEncodingData = NULL;
42,303.5,565,1096,0.852802865422,16,6,0,0,False,parser->m_parentParser = NULL;
42,303.5,565,1097,0.852802865422,16,6,0,0,False,parser->m_parsingStatus.parsing = XML_INITIALIZED;
42,303.5,565,1099,0.852802865422,16,6,0,0,False,parser->m_isParamEntity = XML_FALSE;
42,303.5,565,1100,0.852802865422,16,6,0,0,False,parser->m_useForeignDTD = XML_FALSE;
42,303.5,565,1101,0.852802865422,16,6,0,0,False,parser->m_paramEntityParsing = XML_PARAM_ENTITY_PARSING_NEVER;
42,303.5,565,1103,0.852802865422,16,6,0,0,False,parser->m_hash_secret_salt = 0;
42,303.5,565,1104,0.852802865422,16,6,0,0,False,}
42,303.5,565,1361,0.852802865422,16,6,0,0,False,"destroyBindings(BINDING *bindings, XML_Parser parser)"
42,303.5,565,1364,0.852802865422,16,6,0,0,False,BINDING *b = bindings;
42,303.5,565,1365,0.852802865422,16,6,0,0,False,if (!b)
42,303.5,565,1366,0.852802865422,16,6,0,0,False,break;
