subject,mode,repetition,metric,fault_line,baseline_average_rank,current_average_rank,rank_improvement,rank_improvement_fraction,baseline_tie_size,competitor_count,actual_below,actual_equal,actual_above,actual_below_fraction,actual_above_fraction,generated_usable_tests,new_profiles,new_PASS_profiles,new_FAIL_profiles,new_profile_items,new_profile_discriminating_items,new_profile_helpful_items,new_profile_harmful_items,new_profile_mixed_direction_items,new_profile_helpful_pairs,new_profile_harmful_pairs,new_profile_net_pairs,new_profile_helpful_PASS_pairs,new_profile_helpful_FAIL_pairs,new_profile_harmful_PASS_pairs,new_profile_harmful_FAIL_pairs,new_profile_discriminating_density,new_profile_helpful_density,new_profile_harmful_density,new_profile_net_density,new_profile_helpful_PASS_share,new_profile_helpful_FAIL_share,new_profile_competitors_with_helpful,new_profile_competitors_with_harmful,new_profile_competitors_net_helpful,new_profile_competitors_net_harmful,new_profile_competitors_net_zero,new_profile_competitors_net_helpful_fraction,new_profile_competitors_net_harmful_fraction,test_items,test_discriminating_items,test_helpful_items,test_harmful_items,test_mixed_direction_items,test_helpful_pairs,test_harmful_pairs,test_net_pairs,test_helpful_PASS_pairs,test_helpful_FAIL_pairs,test_harmful_PASS_pairs,test_harmful_FAIL_pairs,test_discriminating_density,test_helpful_density,test_harmful_density,test_net_density,test_helpful_PASS_share,test_helpful_FAIL_share,test_competitors_with_helpful,test_competitors_with_harmful,test_competitors_net_helpful,test_competitors_net_harmful,test_competitors_net_zero,test_competitors_net_helpful_fraction,test_competitors_net_harmful_fraction
expat_resume,aflsmart-nonstack,1,jaccard,2912,303.5,318.5,-15.0,-0.04942339373970346,524,523,12,481,30,0.022944550669216062,0.05736137667304015,58,20,11,9,20,19,8,11,0,124,196,-72,0,124,196,0,0.030592734225621414,0.011854684512428298,0.018738049713193115,-0.006883365200764819,0.0,1.0,42,42,0,38,485,0.0,0.07265774378585087,58,56,31,25,0,378,496,-118,0,378,496,0,0.0288125535702512,0.012461264587591482,0.016351288982659723,-0.0038900243950682404,0.0,1.0,42,42,8,34,481,0.015296367112810707,0.06500956022944551
expat_resume,aflsmart-nonstack,1,ochiai,2912,303.5,318.5,-15.0,-0.04942339373970346,524,523,12,481,30,0.022944550669216062,0.05736137667304015,58,20,11,9,20,19,8,11,0,124,196,-72,0,124,196,0,0.030592734225621414,0.011854684512428298,0.018738049713193115,-0.006883365200764819,0.0,1.0,42,42,0,38,485,0.0,0.07265774378585087,58,56,31,25,0,378,496,-118,0,378,496,0,0.0288125535702512,0.012461264587591482,0.016351288982659723,-0.0038900243950682404,0.0,1.0,42,42,8,34,481,0.015296367112810707,0.06500956022944551
expat_resume,aflsmart-nonstack,2,jaccard,2912,303.5,316.5,-13.0,-0.042833607907743,524,523,14,481,28,0.02676864244741874,0.05353728489483748,30,15,8,7,15,13,6,7,0,110,158,-48,0,110,158,0,0.03416188655194392,0.014021669853409816,0.020140216698534098,-0.006118546845124283,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621,30,22,10,12,0,194,316,-122,0,194,316,0,0.032504780114722756,0.012364563416188655,0.020140216698534098,-0.007775653282345443,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-nonstack,2,ochiai,2912,303.5,312.5,-9.0,-0.029654036243822075,524,523,18,481,24,0.03441682600382409,0.045889101338432124,30,15,8,7,15,13,6,7,0,110,158,-48,0,110,158,0,0.03416188655194392,0.014021669853409816,0.020140216698534098,-0.006118546845124283,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621,30,22,10,12,0,194,316,-122,0,194,316,0,0.032504780114722756,0.012364563416188655,0.020140216698534098,-0.007775653282345443,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-nonstack,3,jaccard,2912,303.5,326.5,-23.0,-0.0757825370675453,524,523,4,481,38,0.0076481835564053535,0.07265774378585087,33,13,8,5,13,11,4,7,0,96,148,-52,0,96,148,0,0.035887630533902044,0.014119723488748345,0.0217679070451537,-0.0076481835564053535,0.0,1.0,42,42,4,14,505,0.0076481835564053535,0.02676864244741874,33,24,5,19,0,138,450,-312,0,138,450,0,0.03406918129671476,0.007995828263514687,0.026073353033200068,-0.018077524769685382,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-nonstack,3,ochiai,2912,303.5,302.5,1.0,0.0032948929159802307,524,523,28,481,14,0.05353728489483748,0.02676864244741874,33,13,8,5,13,11,4,7,0,96,148,-52,0,96,148,0,0.035887630533902044,0.014119723488748345,0.0217679070451537,-0.0076481835564053535,0.0,1.0,42,42,4,14,505,0.0076481835564053535,0.02676864244741874,33,24,5,19,0,138,450,-312,0,138,450,0,0.03406918129671476,0.007995828263514687,0.026073353033200068,-0.018077524769685382,0.0,1.0,42,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-nonstack,4,jaccard,2912,303.5,306.5,-3.0,-0.009884678747940691,524,523,18,481,24,0.03441682600382409,0.045889101338432124,43,13,6,7,13,11,5,6,0,102,116,-14,0,102,116,0,0.03206353875569937,0.015002206206795116,0.01706133254890425,-0.0020591263421091337,0.0,1.0,42,42,0,14,509,0.0,0.02676864244741874,43,37,19,18,0,362,388,-26,0,362,388,0,0.03334963760060474,0.01609675841522522,0.01725287918537952,-0.0011561207701542976,0.0,1.0,42,42,18,24,481,0.03441682600382409,0.045889101338432124
expat_resume,aflsmart-nonstack,4,ochiai,2912,303.5,282.5,21.0,0.06919275123558484,524,523,42,481,0,0.08030592734225621,0.0,43,13,6,7,13,11,5,6,0,102,116,-14,0,102,116,0,0.03206353875569937,0.015002206206795116,0.01706133254890425,-0.0020591263421091337,0.0,1.0,42,42,0,14,509,0.0,0.02676864244741874,43,37,19,18,0,362,388,-26,0,362,388,0,0.03334963760060474,0.01609675841522522,0.01725287918537952,-0.0011561207701542976,0.0,1.0,42,42,18,24,481,0.03441682600382409,0.045889101338432124
expat_resume,aflsmart-nonstack,5,jaccard,2912,303.5,288.5,15.0,0.04942339373970346,524,523,42,481,0,0.08030592734225621,0.0,25,12,5,7,12,11,6,5,0,110,120,-10,0,110,120,0,0.036647546207775654,0.01752708731676227,0.019120458891013385,-0.0015933715742511153,0.0,1.0,42,42,14,24,485,0.02676864244741874,0.045889101338432124,25,17,10,7,0,194,148,46,0,194,148,0,0.02615678776290631,0.014837476099426386,0.011319311663479924,0.003518164435946463,0.0,1.0,42,42,18,0,505,0.03441682600382409,0.0
expat_resume,aflsmart-nonstack,5,ochiai,2912,303.5,288.5,15.0,0.04942339373970346,524,523,42,481,0,0.08030592734225621,0.0,25,12,5,7,12,11,6,5,0,110,120,-10,0,110,120,0,0.036647546207775654,0.01752708731676227,0.019120458891013385,-0.0015933715742511153,0.0,1.0,42,42,14,24,485,0.02676864244741874,0.045889101338432124,25,17,10,7,0,194,148,46,0,194,148,0,0.02615678776290631,0.014837476099426386,0.011319311663479924,0.003518164435946463,0.0,1.0,42,42,18,0,505,0.03441682600382409,0.0
